Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Tobacco21,Preventing Tobacco Addiction Foundation,≤100,1
National Wildlife Catalog,National Wildlife Federation,≤100,1
GoFundVeterans,These ads ran without a disclaimer,≤100,1
Wyoming Liberty Group,Wyoming Liberty Group,≤100,2
Becket Breaux For Sheriff,the Becket Breaux Campaign Fund.,≤100,2
Oregon State Streak,These ads ran without a disclaimer,≤100,1
Sara Hannan for Alaska House,"Sara Hannan for Alaska House PO Box 240752 Douglas, AK 99824",≤100,2
Shot@Life,Shot@Life,≤100,4
Wayne"Coach" Williams For School Board,The Campaign to Elect  Wayne " Coach" Williams School Board District #14,≤100,3
Public Service Proud,Public Service Proud,≤100,4
The Rabbis' Intifada,The Rabbis Intifada - A film,≤100,1
Two Tribes,Jim Hester,≤100,1
AwesomeTees,These ads ran without a disclaimer,≤100,23
Steve Berch for Idaho,"the Committee to Elect Steve Berch, Susan Eastlake, Treasurer",≤100,2
The Answer San Diego FM 96.1 AM 1170,Salem Media,≤100,1
ArtProfileratx,"ArtProfiler, Austin's Premiere Online Cultural Magazine",≤100,4
Union Patriots,Union Patriots,≤100,6
Colleen Davis for Treasurer,the Committee to Elect Colleen Davis,≤100,1
National Immigration Forum,The National Immigration Forum,≤100,2
State Representative John Stefanski,Campaign to Elect John Stefanski,≤100,1
Lindy Li,Lindy Li,≤100,3
Lifestyle Dynamics,These ads ran without a disclaimer,≤100,1
Mel Trotter Ministries,Mel Trotter Ministries,≤100,1
Janji,These ads ran without a disclaimer,≤100,13
Kanew for Congress,Kanew For Congress,≤100,1
Harry J Houck,Harry J Houck,≤100,2
"Gerald A. Griggs - Advocate, Attorney, Activist",Gerald A. Griggs,≤100,2
Joe Newcomer,Joseph Newcomer for LCPS School Board,≤100,1
New Jersey Firefighters PFANJ,Professional Firefighters Association of New Jersey,≤100,2
Trump Supply,Trump Supply,≤100,5
Van Hipp,Van Hipp,≤100,2
The Man Up Club,These ads ran without a disclaimer,≤100,2
Assemblyman Brian Dahle,Assemblyman Brian Dahle,≤100,4
RALI New Mexico,Rx Abuse Leadership Initiative,≤100,1
Cleveland School of Cannabis,Cleveland School of Cannabis,≤100,4
Barrymore Film Center,Borough of Fort Lee,≤100,1
Left Action,LeftAction,≤100,4
Kenneth Mejia for Congress,Kenneth Mejia for Congress,≤100,1
Chicken Fried Politics,Rich Shumate,≤100,6
Eileen Dordek for Alderman 47th Ward,Friends of Eileen Dordek,≤100,2
Staci Bevill for Lee County Court Judge,Friends to Elect Staci Shumpert Bevill & Approved by the Candidate,≤100,5
Your Daily Pitch,Your Daily Pitch / Cox Media,≤100,4
"True Guarnieri Ayer, LLP","True Guarnieri Ayer, LLP",≤100,1
Councilmember Anna Hochkammer,Councilmember Anna Hochkammer,≤100,5
Pennsylvania Record,The Record,≤100,2
Moms Demand Action - OH,Everytown For Gun Safety Action Fund,≤100,9
Edesia,These ads ran without a disclaimer,≤100,1
Campaign Deputy,Campaign Deputy,≤100,4
Divided Equals Zero,Divided Equals Zero,≤100,8
Orlando Political Observer,Gravis Marketing,≤100,4
Fight the New Drug,Fight the New Drug,≤100,2
Flint for Cherokee Nation Tribal Council: District Three,Billy Flint,≤100,2
TIDAL,Tidal,≤100,1
Gator PAC,GatorPAC,≤100,4
Gross Electric Inc.,Gross Electric,≤100,1
Douglas Land Conservancy,These ads ran without a disclaimer,≤100,7
2nd Amendment Supporters,These ads ran without a disclaimer,≤100,1
Hydrate MN,These ads ran without a disclaimer,≤100,1
Commissioner Jesse Gonzalez,"Linda R. Ramirez, Treasurer, PO Box 430249 Laredo TX 78043",≤100,2
Florida Coastal Property Rights,Florida Coastal Property Rights,≤100,6
Women Winning,Women Winning. Women Winning is a Minnesota non-profit corporation that is recognized as a tax-exempt 501(c)(4) organization. Contributions are not tax deductible for income tax purposes.,≤100,3
Louisiana Oil & Gas Political Action Committee,Louisiana Oil & Gas Political Action Committee,≤100,1
Continental Divide Trail Coalition,Continental Divide Trail Coalition,≤100,4
GO Public Schools Oakland Advocates,GO Public Schools Oakland Advocates,≤100,3
Kim and Park Law llc,"Kim and Park Law, LLC",≤100,2
Kenny Buttons,These ads ran without a disclaimer,≤100,1
City In The Forest,City in the Forest,≤100,3
Redhawk Investment Group,Redhawk Investment Group,≤100,1
Britt Raybould for Idaho,Britt Raybould for Idaho,≤100,1
Emerald Pointe Apartment Homes,O'Brien Realty Group,≤100,2
Look Human,Print Syndicate,≤100,2
POLITANK*,Politank*,≤100,1
Sheriff Joseph Lopinto,Sheriff Joseph Lopinto,≤100,2
Lance Gooden,Lance Gooden for Congress Committee,≤100,1
Black Knowledge,These ads ran without a disclaimer,≤100,1
TribLive,Trib Total Media,≤100,2
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,Michael Musa-Obregón,≤100,1
Charlie Gerow,Charlie Gerow.,≤100,1
Hygeia Analytics,Hygeia Analytics,≤100,6
"The Schlehr Law Firm, P.C.","The Schlehr Law Firm, P.C.",≤100,1
District 8,Michael Maguire,≤100,2
Michigan Capitol Confidential,The Mackinac Center for Public Policy,≤100,6
The Conservative Nation,"TJAL Enterprises, Inc.",≤100,2
AK Headlamp,AKHEADLAMP - a project of the Alaska Support Industry Alliance,≤100,3
Massachusetts Building Trades Council,MA Building Trades Council,≤100,1
The Singing Mortgage Guy,Frank Lillo,≤100,1
Power California,Power California,≤100,1
Planned Parenthood of Southern New England,Planned Parenthood of Southern New England,≤100,5
Pierce County,Pierce County Department of Communications,≤100,2
ProjectDiehard,Brian Gibson,≤100,1
Ballantyne Breakfast Club,Ballantyne Breakfast Club Leadership,≤100,1
South China Morning Post,These ads ran without a disclaimer,≤100,4
G3C Technologies Corporation,These ads ran without a disclaimer,≤100,13
Kv Kreations Boutique,These ads ran without a disclaimer,≤100,2
Re-Elect Mayor Kary Story,Kary Story,≤100,2
Solución Legal Online,These ads ran without a disclaimer,≤100,3
Street Child US,These ads ran without a disclaimer,≤100,1
Diamondhead News,Bay Jourdan Publishing Company,≤100,12
ReformJudaism.org,the Union for Reform Judaism,≤100,3
Nina Vaca,Ximena Humrichouse,≤100,6
Lanita Witt for County Commissioner,Lanita Wittt for County Commissioner,≤100,1
Education Minnesota,Education Minnesota,≤100,1
Donna White,Donna White for NC House,≤100,2
Evonomics: The Next Evolution of Economics,Evonomics,≤100,3
We The People - Pennsylvania Action,We The People - PA Action,≤100,11
South Miami-Dade Cultural Arts Center,These ads ran without a disclaimer,≤100,2
TheBradentonTimes.com,The Bradenton Times,≤100,7
Movimiento Unión Soberanista (MUS),Movimiento Unión Soberanista,≤100,2
Arroyo Seco Foundation,Arroyo Seco Foundation,≤100,1
Ripon College Center for Politics and the People,The Center for Politics and the People,≤100,2
Lisa Calderón for Denver Mayor,Lisa Calderon for Denver Mayor,≤100,3
Texas Values,Texas Values,≤100,2
Zapata Filmes,These ads ran without a disclaimer,≤100,1
Origin Stories: A Podcast About Politics and People,Brent Jabbour - Origin Stories - A Podcast about Politics and People,≤100,2
Queens Chamber of Commerce,These ads ran without a disclaimer,≤100,1
Bankershub,Bstuff LLC dba BankersHub,≤100,1
Rep. Micah Van Huss,Citizens to Elect Micah Van Huss,≤100,1
ROC Training,R.O.C. Training LLC.,≤100,1
Barrett for Schools,Barrett for Schools,≤100,3
Emily Best for PA Senate,Committee to Elect Emily Best,≤100,1
US Tech Workers,Progressives For Immigration Reform,≤100,5
Vermont Democratic Party,The Vermont Democratic Party,≤100,2
Love Justice International,Love Justice International NGO,≤100,1
Progressives For Immigration Reform,Progressives For Immigration Reform,≤100,2
RockThe36th,Imagination Worldwide Media,≤100,1
Willie Wilson,These ads ran without a disclaimer,≤100,2
UPolitics,"uInterview, Inc.",≤100,5
Spectrum Hydro,These ads ran without a disclaimer,≤100,1
A.G. Howell for District Attorney,Friends of A.G. Howell,≤100,1
Seguros de salud central florida,Alfredo Ramirez,≤100,2
Granger,Granger,≤100,1
DC Fiscal Policy Institute,the DC Fiscal Policy Institute,≤100,5
National Popular Vote dot com,"John Paladin and Attorney Paladin, Los Angeles, California. Supporter of National Popular Vote, Every Vote Equal, End Citizens United, Move To Amend, Term Limits and The Federal Accountability Amendment.",≤100,4
National Porridge Party,These ads ran without a disclaimer,≤100,1
Pete Crotty for Orange County Commission District 3,Pete Crotty for Orange County Commission District 3,≤100,2
Summerfield Apartment Homes,Danielle Mills,≤100,1
AFSCME 3299,AFSCME Local 3299,≤100,1
The Pride Shop,These ads ran without a disclaimer,≤100,3
Ten Thousand Villages,These ads ran without a disclaimer,≤100,1
Advancing Native Missions,Advancing Native Missions,≤100,4
Dr. Bob Onder,"Onder for Missouri, Doug Mueller, CPA Treasurer",≤100,2
Holidays Zin,Dream Chasers,≤100,4
Anton Andrew for State Representative,Friends of Anton Andrew,≤100,1
Philadelphia International Marxist Tendency,These ads ran without a disclaimer,≤100,1
Greater Pittsburgh Community Food Bank,Greater Pittsburgh Community Food Bank,≤100,1
Whole Washington,"Whole Washington PO Box 17500 Seattle, WA 98127",≤100,1
Fresno Police Chaplaincy,The Fresno Police Chaplaincy,≤100,4
Leaders of a Beautiful Struggle,Leaders of a Beautiful Struggle,≤100,3
Boise Rescue Mission Ministries,These ads ran without a disclaimer,≤100,3
Pennsylvania Institute of CPAs - PICPA,Pennsylvania Institute of Certified Public Accountants,≤100,2
Northeast Charter Schools Network,Northeast Charter Schools Network,≤100,3
West Virginia Gaming & Racing Association,WV Racing Association,≤100,1
Synthisophy,Synthisophy,≤100,1
The Washington County Democratic Party,Washington County Democratic Party,≤100,1
Miller Firearms Training,Miller Firearms Training,≤100,1
Land Stewardship Project,Land Stewardship Project,≤100,1
A Better Legacy,Sean Dolan Campaign,≤100,2
"Cult45, LLC","Cult45, LLC",≤100,1
Portlanders For Parking Reform,Tony Jordan,≤100,2
Topher Morrison for Mayor,"Topher Morrison, Non Partisan for Mayor of Tampa.”",≤100,1
Soap Hope,These ads ran without a disclaimer,≤100,3
Global Conservation Force,Global Conservation Force Sponsor,≤100,3
Media Matters for America,Media Matters for America,≤100,5
A Hard Road Documentary,A Hard Road Documentary,≤100,1
MN AFL-CIO,the Minnesota AFL-CIO. Not authorized by any candidate.,≤100,1
ECPI University,These ads ran without a disclaimer,≤100,1
Michael Quinn Sullivan,Empower Texans,≤100,1
Orlando Marrero for PA House Representative District 139,Orlando for PA 139,≤100,1
Lt. Governor Randy McNally,Friends of Randy McNally,≤100,1
Steve O'Ban,Friends of Steve O'Ban,≤100,1
Miami's Community Newspapers,Miami's Community Newspapers,≤100,1
March of Dimes,March of Dimes,≤100,1
Really American,Really American,≤100,15
Because Wyoming,Island Richards,≤100,1
Herb McMillan for Delegate,"Friends of Herb McMillan, Pete Edmondo Treasurer",≤100,1
Alliance for a Better Utah,Alliance for a Better Utah,≤100,1
Interact for Health,Interact for Health,≤100,1
KGUN 9 On Your Side,KGUN 9 On Your Side,≤100,1
Claremont Institute,the Claremont Institute.,≤100,1
Jim Mathias,"Friends of Jim Mathias. Donna Richardson West, Treasurer",≤100,1
Libertarians of Greenwood County,"Libertarian Party of Greenwood County, Kathleen Donegan Cleveland, Chairman",≤100,1
SameSide,SameSide,≤100,9
American Heart Association - Nebraska,American Heart Association,≤100,1
Klamath Falls News,Klamath Falls News,≤100,2
Dan Carr,Faith First,≤100,1
Iowa Select Farms,These ads ran without a disclaimer,≤100,3
Texans For Stovall,Texans For Stovall,≤100,1
Travis County Democratic Party,Travis County Democratic Party,≤100,1
Ted Budd,Ted Budd for Congress,≤100,2
River Radio Concerts and Events,These ads ran without a disclaimer,≤100,1
Clean Air Baltimore Coalition,Clean Air Baltimore Coalition,≤100,1
Webb County Judge Tano E. Tijerina,"Kimberly Tijerina, Treasurer",≤100,2
Disability Professionals,Disability Professionals,≤100,1
Merrimack Realty Group,These ads ran without a disclaimer,≤100,1
Harvard Business School Association of Orange County,The Harvard Business School Association of Orange County,≤100,1
cut50,#cut50,≤100,1
Smith & Turner Mortuary,Smith & Turner Mortuary,≤100,1
Everglades Foundation,The Everglades Foundation,≤100,1
Michigan Democratic Party,the Michigan Democratic State Central Committee. Not authorized by any candidate or committee.,≤100,1
Jonas Philanthropies,These ads ran without a disclaimer,≤100,1
Upward Strategy Group,These ads ran without a disclaimer,≤100,1
Choose Courage Foundation,These ads ran without a disclaimer,≤100,1
Communities In Schools,Communities In Schools,≤100,1
John Bel Edwards for Louisiana,John Bel Edwards for LA,≤100,1
Jim Moustis Will County Board Speaker,Friends of County Board Chariman Jim Moustis,≤100,1
Second Harvest Heartland,Second Harvest Heartland,≤100,2
Glavovic Studio,Glavovic Studio,≤100,2
"Freedom Watch, Inc.","Freedom Watch, Inc.",≤100,2
Ellen Rosenblum,and authorized by Elect Ellen Rosenblum for Attorney General.,≤100,3
Arkansas Advocates for Children and Families,Arkansas Advocates for Children and Families,≤100,5
Congressman Clay Higgins,Office of Congressman Clay Higgins,≤100,1
McGinty for House,McGinty for House,≤100,5
Blue Mafia,"Tim Tolka, author of Blue Mafia.",≤100,1
UTLA,United Teachers Los Angeles,≤100,1
Goodwill Industries of Southwestern Michigan,These ads ran without a disclaimer,≤100,1
Dave Parent Attorney at Law,These ads ran without a disclaimer,≤100,1
David Stockman,David Stockman,≤100,2
Syrian Community Network,These ads ran without a disclaimer,≤100,1
Mike Lednovich City Commission Candidate,"Mike Lednovich Campaign City Commission, Group 4",≤100,2
Andrew Proctor for Ward 5 Alderman,Citizens for Andrew Proctor,≤100,2
US Health Marketplace,Healthy Living Initiative,≤100,3
Oral Surgery Services,These ads ran without a disclaimer,≤100,1
Immigration & Nationality Law Group,These ads ran without a disclaimer,≤100,1
Equality Now,Equality Now,≤100,1
National Coalition for Homeless Veterans,National Coalition for Homeless Veterans,≤100,1
Stand for Children - Washington,Stand for Children Washington,≤100,1
IOOGO,IOOGO INC.,≤100,1
United Way of Snohomish County,United Way of Snohomish County,≤100,7
King Donald Khrump / A Parallel Universe,Brian Hill,≤100,1
Baptist Global Response (BGR),Baptist Global Response,≤100,5
The Wildcard,The Wildcard,≤100,10
Lexipol,These ads ran without a disclaimer,≤100,1
Omega Center for Sustainable Living (OCSL),the Omega Institute,≤100,2
Larkin University,These ads ran without a disclaimer,≤100,1
AFSCME Retirees,AFSCME Retirees,≤100,3
Citizens Take Action,Citizens Take Action,≤100,10
Yale Environment 360,Yale Environment 360,≤100,3
Insurance4Dallas,Insurance4Dallas,≤100,1
Is It Funny Or Offensive?,Is It Funny Or Offensive?,≤100,2
Justin Haskins,Justin Haskins,≤100,3
Papa John's Pizza Central PA,These ads ran without a disclaimer,≤100,1
Alliance of Nurses for Healthy Environments,the Alliance of Nurses for Healthy Environments,≤100,1
GoFundVeterans,GoFundVeterans - Non Profit Organization Supporting our Heroes - 100% of Funds Raised Support Veterans ; No Admin Fees,≤100,2
Lake Pepin Legacy Alliance,Lake Pepin Legacy Alliance,≤100,8
Peter A Brown Jr.,PBG Solutions LLC,≤100,5
United Way of Greater Nashua,United Way of Greater Nashua,≤100,2
Vote Cascadia,Vote Cascadia & Individuals like you!,≤100,1
Protect PT,Halt the Harm Network,≤100,6
Thieves in the Temple,Alec Mento,≤100,7
Gospel for Asia,These ads ran without a disclaimer,≤100,1
Oakland County Republican Party,Oakland County Republican Party,≤100,1
Trump Rules,Trump Rules,≤100,4
Advocate My Meds,Advocate My Meds,≤100,3
Angie Simpson for School Board 2018,Angela Simpson for School Board 2018 #1401933,≤100,1
Ralph Nader Radio Hour,Steve Skrovan,≤100,1
AimsPoll,Craig Simon on behalf of the Indaba Application Network... "Building Better Tools for Better Democracies",≤100,2
David Nay Morrisville Borough Council 2nd Ward Representative,Dave Nay,≤100,2
Tulifts,These ads ran without a disclaimer,≤100,1
Re-elect Alderman Raymond Lopez - 15th Ward,Friends of Raymond A. Lopez,≤100,8
