Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Hearing Aid Reviews,Hearing Aid Reviews,1376,24
John F. Kennedy Presidential Library and Museum,the John F. Kennedy Library Foundation,1376,139
Conservative Christmas,Conservative Christmas,1375,56
LIFE Today,LIFE Outreach International,1372,48
New American Economy,New American Economy,1370,7
Blue Cross NC,Blue Cross NC,1365,5
APWU - The American Postal Workers Union,APWU - American Postal Workers Union,1363,2
John Nickelson for City Council,the Committee to Elect John Nickelson,1358,13
Columbia Bank,Columbia Bank,1358,10
Energy Transfer,Energy Transfer,1357,4
CREDO Mobile,CREDO Mobile,1341,50
Community Change,Center for Community Change,1334,7
NYC Pride,NYC Pride,1334,5
Every Baby Counts NV,Every Baby Counts NV,1330,4
Nicholas J. Sacco,Nick Sacco for Mayor,1329,1
Love Justice International,Love Justice International NGO,1324,5
The Salvation Army DFW,Salvation Army DFW,1324,12
Crooked Media,Crooked Media,1321,74
LifeStraw,LifeStraw®,1318,173
Connect Americans Now,Microsoft and approved by Connect Americans Now.,1317,8
Blumenthal Performing Arts,Blumenthal Performing Arts,1316,7
Coalition for the Future of Oklahoma Families,Coalition for the Future of Oklahoma Families,1313,4
GZERO Media,GZERO Media,1305,11
Bloomberg Philanthropies,Bloomberg Philanthropies,1305,9
Dr. Robert Jeffress,Pathway to Victory,1293,8
U.S. Chamber of Commerce,U.S. Chamber of Commerce,1291,15
Liberty University Online Programs,These ads ran without a disclaimer,1286,2
Austin Police Association Political Action Committee (APA PAC),the Austin Police Association Political Action Committee,1285,5
Senator Ron Wyden,Wyden for Senate.,1281,144
The Boeing Company,Boeing,1275,2
Connect Americans Now,Connect Americans Now.,1272,7
Transport Workers Union (TWU),Transport Workers Union,1272,199
seiu-uhw,Service Employees International Union-United Healthcare Workers West (SEIU-UHW),1266,8
New Mexico Oil & Gas,New Mexico Oil & Gas Association,1262,27
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,1254,17
International Christian Embassy Jerusalem - USA,The International Christian Embassy Jerusalem,1244,76
Yale Climate Connections,Yale Climate Connections,1242,35
Conservation Minnesota,Conservation Minnesota,1240,6
Penguin Kids,Penguin Young Readers,1239,17
Special Olympics,Special Olympics,1238,16
HPAE - Health Professionals & Allied Employees,HPAE - Health Professionals & Allied Employees,1225,4
Goods Unite Us,"Goods Unite Us, Inc.",1223,5
Pioneer Seeds,Pioneer Seeds,1223,1
Illinois Farm Bureau,Illinois Farm Bureau,1220,8
Diamonds Do Good,Diamonds Do Good,1220,7
Open Doors USA,Open Doors USA,1215,58
Seth Moulton,Seth Moulton for Congress,1208,7
Washington State Democratic Party,Washington State Democratic Party,1203,6
Cheddar Live,Cheddar,1202,5
Center for Austin's Future,"The Center for Austin’s Future PAC. 5 Largest Contributors: Austin Hotel & Lodging Association; CREA Capital, LLC; PSW Real Estate; Ward Tisdale; Austin Apartment Association.",1200,1
Kitchen Delight,These ads ran without a disclaimer,1194,59
Young America's Foundation,Young America's Foundation,1194,35
Bronx Zoo,Wildlife Conservation Society,1185,6
Hearing Aid News,Hearing Aid News,1185,10
Compassion International,Compassion International,1178,8
Tee Shirt Palace,Tee Shirt Palace,1177,7
The Money Source Inc.,The Money Source Inc. NMLS# 6289,1173,2
"Congressman Roger Marshall, M.D.",the Office of Congressman Roger Marshall,1171,6
Here TV,Here TV,1165,6
Michael Medved,Job Creators Network (“JCN”),1162,6
Nine Line Apparel,These ads ran without a disclaimer,1161,10
First Baptist Dallas,These ads ran without a disclaimer,1160,1
Planted for People,America's Corn Farmers,1159,7
Congress of Tomorrow,Democracy Fund Voice.,1157,24
Total Nerd,Ranker,1152,24
If Americans Knew,"If Americans Knew, a nonpartisan, nonprofit American think tank that provides information on Israel-Palestine and related subjects. Since the US gives Israel over $10 million per day, we feel it is essential that Americans learn the facts on this issue, especially information largely omitted from US news reports.",1147,5
Make America Great Again - Republican,Agency Consulting LLC,1143,3
Framed Tweets,Framed Tweets Inc,1136,38
Polaris,Polaris,1129,2
County Solar Programs,County Solar Programs,1124,20
RepublicEn,RepublicEn,1120,2
Rise Up Retail,Organization United for Respect,1119,5
The Western Journal,The Western Journal,1119,160
Colorado Solar Rebates & Tax Credits,Colorado Solar Rebates & Tax Credits,1115,12
"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",1114,9
Our Health Oregon,Our Health Oregon,1112,8
Comcast Newsmakers,Comcast,1108,1
My Child. My Choice.,My Child. My Choice.,1106,14
Ed Markey,The Markey Committee,1102,7
Phone2Action,Phone2Action,1101,82
In Search of Liberty,In Search of Liberty,1093,11
Save The Animals,These ads ran without a disclaimer,1092,43
Protect the Investigation,Protect the Investigation,1086,3
PathWater,PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,1085,15
Dallas Safari Club,DSC Foundation,1084,10
American Cancer Society Cancer Action Network - ACS CAN,the American Cancer Society Cancer Action Network.,1081,12
Alliance Defending Freedom,Alliance Defending Freedom,1079,40
SEIU Local 2015,SEIU Local 2015,1078,5
Americans For Prosperity - Missouri,Americans for Prosperity,1073,4
National Coalition of Associations of 7-Eleven Franchisees,The National Coalition of Associations of 7-Eleven Franchisees,1072,14
History 101,Novelty Media,1071,51
Simple Health,Simple Health,1071,7
Build With Strength,Build With Strength,1061,17
Bayou Bridge Pipeline Facts,Energy Transfer Partners,1058,2
The Arc of the United States,The Arc,1057,24
Marco Rubio,MARCO RUBIO FOR SENATE,1054,1
SunShare,SunShare Community Solar,1050,5
SunSource Homes,SunSource,1050,2
Nuclear Energy Institute,Nuclear Energy Institute,1046,12
Mike Bloomberg,Bloomberg Philanthropies,1045,6
American Action News,American Action News,1043,3
FairUseTV,Ken Meyering,1042,11
Til Valhalla Project,Til Valhalla Project,1039,21
Protect Our Workers' Earned Retirement Coalition,Protect Our Workers Earned Retirement,1038,12
United Way of King County,United Way of King County,1038,23
OneUnited Bank,OneUnited Bank,1031,31
Congressman Jason Smith,Congressman Jason Smith,1027,2
New American Road Trip,Purpose,1023,4
Veterans of Foreign Wars VFW,the Veterans of Foreign Wars (VFW),1023,21
National Wildlife Federation,National Wildlife Federation,1021,3
Hoover Institution,Hoover Institution,1020,40
Kentucky Power,American Electric Power,1020,1
Minnesotans for a Smoke-Free Generation,ClearWay Minnesota,1019,27
Adrian Perkins for Mayor of Shreveport,The Committee to Elect Adrian Perkins for Mayor,1018,7
Providence: A Journal of Christianity & American Foreign Policy,Providence: A Journal of Christianity & American Foreign Policy,1018,3
Airbnb Citizen,Airbnb,1017,4
Cold Dead Hands,Cold Dead hands of America,1015,46
Supervisor Joseph Saladino,Citizens for Saladino,1015,6
SMU,SMU,1013,6
Coalition for Medicare Choices,The Coalition for Medicare Choices,1013,5
"America, Can We Talk?","CWT Publications, LLC",1010,6
Prison Fellowship,Prison Fellowship,1010,7
"Subaru of America, Inc.",These ads ran without a disclaimer,1006,1
Minnesota Department of Health,Minnesota Department of Health,1006,5
Tea Party Nation,the Tea Party Nation and is not authorized by any candidate or candidate's committee.,1005,8
Safe Streets & Second Chances,Safe Streets & Second Chances,1004,9
Spectrum Bay News 9,Spectrum News,1000,1
C-SPAN,C-SPAN,1000,2
Jennifer Shilling,WI State Senate,1000,1
Indianapolis Prize,The Indianapolis Prize,1000,134
Carolina Clean Energy Group,Carolina Clean Energy Group,989,3
AARP New Jersey,AARP New Jersey,982,1
Independent Women's Voice,Independent Women's Voice,980,9
Jerusalem Prayer Team,Jerusalem Prayer Team and Friends of Zion,978,15
National Farmers Union,National Farmers Union,973,5
Shield Republic,Rustic Edge Marketing,973,10
WorkingNation,WorkingNation,972,1
BEAST goodr,goodr,969,1
Steve Bullock,Big Sky Values PAC,967,20
"Sabino ""Pio"" Renteria for Austin City Council, District 3",Sabino "Pio" Renteria Campaign,965,15
Affordable Energy for Kansas,Affordable Energy for Kansas,963,5
Darkness to Light,Darkness to Light.,959,160
Coverage of the Trump Presidency by The Epoch Times,The Epoch Times,955,29
Circa,Circa,953,20
FINCA,FINCA International,951,22
Culinary Workers Union Local 226,the Culinary Union,950,12
Fish Eye Guy Photography,Orvis,948,2
Iowa Farm Bureau,Iowa Farm Bureau,946,6
Aspiration,Aspiration,943,4
Pacific Legal Foundation,Pacific Legal Foundation,942,8
Amy Poehler's Smart Girls,Focus Features,942,1
ACLU of Northern California,ACLU of Northern California,940,81
Giving Brush,Giving Brush LLC,937,24
The "Real"  Insurance Lady,The "REAL" Insurance Lady,933,19
Expect More Arizona,Expect More Arizona,932,5
Rainforest Trust,Rainforest Trust,929,1
The Sam Bernstein Law Firm,The Sam Bernstein Law Firm,928,6
Free Press Action Fund,Free Press Action Fund,927,7
Built For Zero,Community Solutions,926,4
Howard Jarvis Taxpayers Association,Howard Jarvis Taxpayers Association,917,3
Progressive Takeover,Progressive Takeover and not authorized by any candidate or candidate's committee.,915,1
Polling.GOP,Polling Dot GOP,913,1
The Hartford Gold Group,The Hartford Gold Group,911,2
Retirement Specialty Group,"Retirement Specialty Group, Inc.",911,6
NAACP Legal Defense Fund,NAACP Legal Defense Fund,910,14
WipeRecord Expungement Lawyers,"WipeRecord, a division of Eastman Meyler, PC",910,8
Engineers Labor Employer Cooperative ELEC,ELEC825,905,1
Dysfunctional Veterans,"Dysfunctional Veterans, Inc",903,6
Women's March,These ads ran without a disclaimer,899,1
Ro Khanna,Ro for Congress,896,50
SEIU Nevada,SEIU Nevada Local 1107,887,15
Washington State Health Care Authority,Washington State Health Care Authority,886,32
Gumbopac,Gumbo PAC,884,9
Concerned Veterans for America Foundation,Concerned Veterans for America Foundation,880,36
CNSNews.com,Media Research Center,879,9
North Shore Animal League America,North Shore Animal League America,874,4
Northeast Animal Shelter,Northeast Animal Shelter,870,4
"Raising Grades, Lifting Futures","Raising Grades, Lifting Futures",868,10
Conservative Institute,Conservative Institute,868,92
Veterans Florida,Veterans Florida,864,7
Missouri Foundation for Health (MFH),Missouri Foundation for Health,862,2
Team Trump 2020,I Love My Freedom,860,14
Save MI City,SaveMICity,855,15
Vera Institute of Justice,Vera Institute of Justice (501c3),851,10
St. Martin's Press,St. Martin's Press,850,3
University Hospitals,University Hospitals,850,3
Appalachian Mountain Club,Appalachian Mountain Club,850,148
Citizens For Balanced Use,"Citizens For Balanced Use. P.O. BOX 606 Gallatin Gateway, MT 59730",847,1
TriMet,TriMet,840,8
The Patriotic Mint,Patriotic Mint Inc.,840,12
San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,836,3
King Aminpour Car Accident Lawyer,These ads ran without a disclaimer,832,1
Clean and Healthy New Mexico,Clean and Healthy New Mexico,832,17
Restore the Delta,Restore the Delta,831,13
Urban Resource Institute,Urban Resource Institute,830,6
Jorge “JD” Delgado for Laredo College Board of Trustees Place 4,"Julio L. Delgado, Treasurer:  Vote 4 Jorge ""JD"" Delgado for Laredo College Board of Trustees, Place 4 Campaign",826,4
Food for the Hungry,Food for the Hungry,824,16
The Voice of the Martyrs - USA,The Voice of the Martyrs - USA,823,6
Lawyers For Employee And Consumer Rights,These ads ran without a disclaimer,823,1
G.I. Jobs Magazine,G.I. Jobs Magazine,821,10
City Journal,City Journal,818,21
Nano Hearing Aids,Nano Hearing Aids,816,22
Kalamata's Kitchen,These ads ran without a disclaimer,815,1
Toad&Co,Toad&Co,815,19
Brewster Residents for Small Business,Adam Higgins,814,4
Wellness.com,"Beachside Media, Inc.",814,36
American Honey Bee Protection Agency,Epic Honey Co.,814,9
Citizens for a Secure and Safe America,Citizens for a Secure & Safe America Educational Committee,812,6
Utah Food Bank,Utah Food Bank,811,12
On Your 6 Designs,On Your 6 Designs,809,3
Maxine's Ice Cream,1% For The Planet,806,8
North Dakota Republican Party,The North Dakota Republican Party,803,15
Wisconsin Right to Life,Wisconsin Right to Life,798,4
Progress North Carolina Action,Progress North Carolina Action,796,2
Consumer Reports Advocacy,Consumers Union,793,5
Gordon Trey Bargas for Baton Rouge Constable,GTB for BR Constable,792,4
Committee to Elect Omar Mason - Judge,the Committee to Elect Omar Mason - Judge,786,1
Points of Light,Points of Light,785,20
Revolution Organizing,Revolution Organizing,783,13
Democratic Association of Secretaries of State,Democratic Association of Secretaries of State,781,14
Idaho Resident Energy Savings,Idaho Resident Energy Savings,776,5
Carnegie Institution for Science,Carnegie Institution for Science,775,21
Road to Repair,ELEC825,775,3
BookTV,C-SPAN,774,3
Retirement Elevated,Retirement Elevated,771,5
Boston Rescue Mission,Boston Rescue Mission,764,15
UnidosUS,UnidosUS,764,2
Hollywood Village,the Church of Scientology,763,1
ScriptSave WellRx,ScriptSave WellRx,759,5
Sand Cloud,These ads ran without a disclaimer,754,10
WEAC,Wisconsin Education Association Council,754,24
Freedom House Reentry Education and Employment Corporation,"Freedom House Reentry, Education & Employment Corporation",754,8
Ceres,Ceres,754,7
Girls in Politics Initiative,Girls in Politics Initiative,751,34
Progressive Impact,Brigade,750,3
Ali Forney Center,Ali Forney Center,750,2
Western Iowa Educational Endeavors,Western Iowa Educational Endeavors,744,8
Trumpy Bear,"Exceptional Products, Inc. marketer of Trumpy Bear",742,27
Funny Or Die,Funny Or Die,741,1
Proud Americans Supply Brand,Proud Americans Supply,741,10
Asian & Pacific Islander American Health Forum (APIAHF),Asian & Pacific Islander American Health Forum,741,10
The People's PAC,The People's PAC,738,4
Americans for Prosperity - Kentucky,Americans for Prosperity,737,18
Tradepoint Atlantic,Tradepoint Atlantic,735,6
Helping Up Mission,One & All Agency,735,8
Colorado Energy Savings,Colorado Energy Savings,734,3
Pennsylvania State Treasurer Joe Torsella,philanthropic dollars.,731,7
Indiana Senate Democratic Caucus,Indiana Senate Democratic Caucus,727,4
ChooseChildren,Silicon Valley Community Foundation,726,23
"Raja Krishnamoorthi - Congressman, IL-8",official funds authorized by the House of Representatives,726,8
American Bridge,American Bridge 21st Century PAC.,724,4
Unreasonable,Unreasonable Group,723,49
PNW,Prophecy News Watch,721,52
Osborne for Mayor of Searcy,Kyle Osborne for Mayor,721,3
New Chapter,New Chapter,716,3
Access Fund,Access Fund,715,31
PrintedKicks,PrintedKicks,713,74
The Palestine Institute for Public Diplomacy,The Palestine Institute for Public Diplomacy,712,6
Charters for Change,Elevate Chicago,710,8
Brad Raffensperger,The Candidate,708,1
Oklahoma Health Action,OK Health Action,707,3
Patriot Powered Products,Patriot Powered Products and Publications,705,60
OZY Future,OZY Media,705,30
Real Property Alliance,Real Property Alliance,702,1
Cadiz Water Project,Cadiz Inc.,701,3
NewsBusters.org,Media Research Center,701,8
The Christian Broadcasting Network,"The Christian Broadcasting Network, Inc.",701,32
NRA Institute for Legislative Action,NRA,700,1
Dennis Prager,"AMAC – The Association of Mature American Citizens, Inc",700,1
Councilmember Dave Upthegrove,King County Government,699,8
Tennesseans for Quality Early Education,Tennesseans For Quality Early Education PAC,699,10
American History TV,C-SPAN,699,2
The Heritage Foundation,The Heritage Foundation,697,4
Californians for Safety and Justice,Californians for Safety and Justice,692,12
Qwōt'em,Qwōt'em,691,3
Holmes Murphy & Associates,Holmes Murphy & Associates,688,20
